"title","artist","region","total_streams","ranking"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee","United States",778581058,1
"Lucid Dreams","Juice WRLD","United States",768867996,2
"goosebumps","Travis Scott","United States",624010649,3
"SAD!","XXXTENTACION","United States",617887484,4
"Jocelyn Flores","XXXTENTACION","United States",598009402,5
"Hawái","Maluma","Uruguay",6146744,1
"Tusa","KAROL G, Nicki Minaj","Uruguay",6134442,2
"Adan y Eva","Paulo Londra","Uruguay",5360089,3
"Calma - Remix","Pedro Capó, Farruko","Uruguay",5139804,4
"DÁKITI","Bad Bunny, Jhay Cortez","Uruguay",5115746,5
"Chúng Ta Của Hiện Tại","Sơn Tùng M-TP","Vietnam",13231864,1
"Lối Nhỏ","Đen, Phương Anh Đào","Vietnam",11959723,2
"Nàng Thơ","Hoang Dung","Vietnam",11942165,3
"Bài Này Chill Phết","Đen, MIN","Vietnam",11205158,4
"Mascara","Chillies","Vietnam",10974008,5
